Ticker,Last,Change %,Gap %,Relative Volume,Shares Float,Exponential Moving Average (200),Simple Moving Average (200),Pre-market Change %,Change from Open,Change from Open %,Change,Volume,Average Volume (30 day)
NDLS,9.17,0.1091703,0,3.7287853,33741944,9.21619,9.196885,,0.01,0.1091703,0.01,8964,644548.6
BWB,12.02,0.08326395,0,1.6205084,25419656,11.768225,11.750968,,0.01,0.08326395,0.01,1141,45326.266
WATT,7.76,0.38809833,0,2.3675642,19811900,7.930371,7.964516,,0.03,0.38809833,0.03,8943,436195
LIVX,4.6,0.877193,0,0.7663287,27666622,4.731501,4.836568,,0.04,0.877193,0.04,650,42791.2
CYRX,11.025,0.22727273,0,1.1816996,28846174,10.860206,10.837858,,0.025,0.22727273,0.025,2991,184938.83
GEMP,1.22,0.8264463,0,0.77731645,10897231,1.1961156,1.1727995,,0.01,0.8264463,0.01,2359,140172.2
QNST,14.85,0.10111223,0,1.5176502,43942590,14.894433,14.932035,,0.015,0.10111223,0.015,7859,1015647.06
CALA,4.54,0.21853822,-0.0022074569,0.7580409,35830572,4.6401415,4.6479535,,0.01,0.22075056,0.0099,1605,362821.06
ADMP,2.67,0.24780355,-0.022527596,3.7881324,45109412,2.618902,2.6021335,,0.0072,0.27039206,0.0066,4073,342046.62
EGAN,7.03,0.11250196,-0.029905584,4.473773,21929236,7.0611873,7.0683465,,0.01,0.14245014,0.0079,3983,268878.66
RARX,14.56,0.034352455,-0.034352455,1.6155572,30577738,14.72248,14.789864,,0.01,0.06872852,0.005,1512,283912.47
CURO,13.41,0.037299514,-0.036553524,3.0705345,15926157,13.496648,13.500687,,0.0099,0.07388005,0.005,7801,395202.4
WSC,13.56,0.03688676,-0.03688676,4.045725,44486620,13.495226,13.487425,,0.01,0.073800735,0.005,26243,830199.94
CREG,1.04,0.4636785,-0.038639877,0.3518295,5555264,1.0597532,1.0645765,,0.0052,0.5025126,0.0048,700,802253.56
OPESU,10.289,0.046673536,-0.040839344,1,13995100,10.157829,10.129478,,0.009,0.087548636,0.0048,200,1842
WLH,12.03,0.04158004,-0.04158004,2.3959315,31567682,12.032776,12.015538,,0.01,0.08319467,0.005,9399,884087.25
REVG,11.58,0.21635656,-0.04327131,7.2339125,27198110,11.609847,11.615548,,0.03,0.25974026,0.025,8285,415889.72
CSPI,12.0525,2.553521,-0.045948062,0.40816328,2993753,11.350741,11.192253,,0.3055,2.600664,0.3001,200,4975.3
BEDU,10.87,0.4157044,-0.046189375,1.755618,0,10.765137,10.741803,,0.05,0.4621072,0.045,500,196778.06
KEYW,8.7,0.05750431,-0.05750431,3.3333333,48006730,8.650144,8.657847,,0.01,0.1150748,0.005,9005,368472.8
EROS,8.71,0.28785262,-0.057570525,2.2030215,35334376,8.803895,8.754069,,0.03,0.34562212,0.025,11155,374799.88
QIWI,14.71,0.06802721,-0.06802721,1.705242,11880000,14.7041025,14.744825,,0.02,0.13614704,0.01,1363,205723.2
GSVC,6.64,0.07535795,-0.07535795,2.4444444,19694088,6.684005,6.735321,,0.01,0.15082957,0.005,495,81081.87
GAIA,12.32,0.3257329,-0.08143322,3.2796133,11997627,12.313382,12.371853,,0.05,0.40749797,0.04,2035,117687.4
TTS,6.12,0.08176615,-0.08176615,2.8456597,39070828,6.079879,6.076743,,0.01,0.16366611,0.005,8107,585169.75
SXCP,12.1,0.16556291,-0.08278146,0.9449563,16505516,12.194965,12.200842,,0.03,0.24855012,0.02,400,150845.67
KURA,11.58,0.08643042,-0.08643042,2.7983673,30977658,11.57747,11.598973,,0.02,0.17301038,0.01,6856,323526.6
MBOT,1.8431,0.6278663,-0.087355316,3.8718748,1849372,1.7965161,1.7833,,0.0131,0.715847,0.0115,12529,142745.03
GLBS,4.93,0.4216487,-0.08758886,3.6100545,1084323,4.7155848,4.6627665,,0.025,0.50968397,0.0207,10154,379885.9
OPTN,8.56,0.2635432,-0.08784773,2.3137405,13674823,8.55512,8.511718,,0.03,0.3516999,0.0225,5444,223412.3
WNEB,9.76,0.102564104,-0.102564104,0.61728394,26372492,9.837067,9.863737,,0.02,0.2053388,0.01,1000,54390.133
HMI,9.2,0.21786493,-0.108932465,5.0009246,39600000,9.338122,9.348358,,0.03,0.32715377,0.02,5408,83866.4
CBLI,1.7419,0.57740057,-0.109706104,0.098483354,4728884,1.7528182,1.725027,,0.0119,0.68786126,0.01,1600,5726.067
SPKE,8.88,0.5662514,-0.113250285,3.7777896,11048826,8.752876,8.743564,,0.06,0.6802721,0.05,7069,131925.6
NESR,8.7,0.5780347,-0.115606934,0.5678592,36050772,8.732181,8.666575,,0.06,0.6944444,0.05,600,43225.633
SYBX,8.32,0.24096386,-0.12048193,3.9277298,21417800,8.569355,8.639826,,0.03,0.3618818,0.02,1500,109792.7
FRD,7.9,1.1523688,-0.12804097,0.12820514,6872872,8.056852,8.075652,,0.1,1.2820513,0.09,200,23484.633
ZSAN,3.765,0.5340454,-0.13351135,2.0895522,10137257,3.791035,3.7819445,,0.025,0.6684492,0.02,700,89404.5
HIVE,3.7299,0.4010767,-0.13458951,5.707263,42456656,3.7318795,3.7329016,,0.0199,0.53638816,0.0149,8243,260800.7
HBMD,14.97,2.2540984,-0.13661203,0.6830601,12561216,15.171883,15.251963,,0.35,2.3939807,0.33,300,26804.066
CLAR,10.47,0.14347202,-0.14347202,1.515503,20768284,10.702055,10.763177,,0.03,0.28735632,0.015,1437,115558.164
PRGX,9.34,0.32223415,-0.16111708,2.1203072,22571024,9.193069,9.14455,,0.045,0.48413125,0.03,2485,64712.168
FRED,2.92,0.5163511,-0.17211704,2.7894511,35588132,2.923726,2.9182475,,0.02,0.6896552,0.015,5881,913007.8
CJJD,2.25,0.48680273,-0.18310928,0.26799867,13424296,2.1551375,2.1203444,,0.015,0.67114097,0.0109,727,258041.9
MSL,12.89,0.07763975,-0.19409938,0.34234852,14645268,12.906861,12.863655,,0.035,0.2722676,0.01,1000,36762.7
MLP,12,0.1393606,-0.19443727,0.28169015,6685847,11.657298,11.620649,,0.04,0.33444816,0.0167,623,12524.8
LMFA,1.4372,0.29309142,-0.20935102,1.8826828,788888,1.4799471,1.4813075,,0.0072,0.5034965,0.0042,1746,711687.3
MGI,2.1,0.23866348,-0.23866348,2.7127094,29535608,2.0943577,2.094799,,0.01,0.4784689,0.005,17848,645310.94
ZDGE,2.91,0.08942698,-0.25452295,0.30295685,7591184,2.609424,2.6303296,,0.01,0.3448276,0.0026,2368,23254.367
CWBR,3.61,0.55710304,-0.27855152,5.4965878,28533464,3.4655242,3.4184866,,0.03,0.83798885,0.02,8296,66276.4
VTVT,1.66,0.28999516,-0.31416142,1.3095238,6994832,1.689698,1.683211,,0.01,0.6060606,0.0048,1100,1253607.9
HOS,3.13,0.32051283,-0.32051283,2.1601942,32543042,3.3234527,3.301004,,0.02,0.6430868,0.01,1300,162166.7
AXSM,3.13,0.6430868,-0.3215434,2.6506023,20749336,3.1591005,3.1961865,,0.03,0.9677419,0.02,924,309225.53
RELV,4.9245,0.15253203,-0.32540166,1.7094017,1212245,4.836682,4.830674,,0.0235,0.47949398,0.0075,462,3403.8
ZYME,11.96,0.08368201,-0.33472803,6.5109177,23008774,12.299189,12.588857,,0.05,0.41981527,0.01,10019,98252.13
GHG,12.94,0.15479876,-0.3482972,1.1806376,1,12.570027,12.503328,,0.065,0.5048544,0.02,200,90918.03
JASN,1.99,3.8188648,-0.35475793,5.5085483,21163010,1.996057,1.9846334,,0.08,4.188482,0.0732,3802,119426.7
ANY,6.61,0.52314615,-0.38931808,2.379814,1552992,6.944201,7.0126324,,0.06,0.9160305,0.0344,32553,2790126.8
AQXP,2.38,0.0042018574,-0.41598386,1.441287,23461282,2.3077757,2.2967005,,0.01,0.42194092,0.0001,4372,121385.2
RMBL,5.87,0.17064847,-0.42662117,0.8902077,10116487,5.9255476,5.979083,,0.035,0.5998286,0.01,300,150020.03
KMPH,2.3,0.004348015,-0.4304535,1.0574658,23356200,2.4157865,2.4462676,,0.01,0.4366812,0.0001,1347,276595.8
SIFI,13.74,0.14577259,-0.4373178,2.7777777,10980156,13.571867,13.544741,,0.08,0.5856515,0.02,500,23118.133
